State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Uninsured Residents
Alabama,4903185.0,39.4,51734.0,28650.0,739108.0,15.07403860959764,2.276520261829811,468901.0
Alaska,731545.0,35.0,75463.0,36978.0,71938.0,9.833708110915937,2.8227928562152704,86187.0
Arizona,7278717.0,38.3,62055.0,32173.0,958442.0,13.167732719928527,2.429933736948421,808643.0
Arkansas,3017804.0,38.8,48952.0,27274.0,474739.0,15.731273469052331,2.224862847288956,270970.0
California,39512223.0,37.0,80440.0,39393.0,4552837.0,11.522604030656538,2.5755574420603975,3001997.0
Colorado,5758736.0,37.1,77127.0,41053.0,526979.0,9.15094909716299,2.005596366980532,453475.0
Connecticut,3565287.0,41.2,78833.0,45359.0,347149.0,9.736915990213411,2.876935293007267,207184.0
Delaware,973764.0,41.4,70176.0,36858.0,106383.0,10.92492636819599,2.324074416388365,62770.0
District of Columbia,705749.0,34.3,92266.0,59808.0,90534.0,12.82807343687345,3.67212705933696,24506.0
Florida,21477737.0,42.4,59227.0,32887.0,2664772.0,12.407135816962466,2.195059004586936,2784348.0
Georgia,10617423.0,37.2,61980.0,32657.0,1373909.0,12.940136227029855,2.3732783369373154,1397823.0
Hawaii,1415872.0,39.6,83102.0,36989.0,128722.0,9.091358540885052,1.9148623604393618,56479.0
Idaho,1787065.0,36.9,60999.0,29606.0,195984.0,10.966808705894861,1.6298791594038269,191195.0
Illinois,12671821.0,38.6,69187.0,37728.0,1420542.0,11.210243579040455,2.5258327118099286,923291.0
Indiana,6732219.0,38.0,57603.0,30988.0,775823.0,11.5240309324459,2.110507694416952,578436.0
Iowa,3155070.0,38.5,61691.0,33107.0,341613.0,10.827430136256881,1.9764062287049098,156062.0
Kansas,2913314.0,37.2,62087.0,32885.0,323189.0,11.093517554235486,1.947507203137046,262392.0
Kentucky,4467673.0,39.2,52295.0,29029.0,703627.0,15.749294990927044,2.2503213641642974,282563.0
Louisiana,4648794.0,37.7,51073.0,28662.0,857894.0,18.4541194985194,2.538529347611445,404253.0
Maine,1344212.0,45.1,58924.0,34078.0,141803.0,10.549154448851818,1.8204717708218645,106537.0
Maryland,6045680.0,39.0,86738.0,43325.0,532241.0,8.803658149290072,2.437376771512882,356831.0
Massachusetts,6892503.0,39.7,85843.0,46241.0,625763.0,9.078893400554197,2.2025670500252232,204079.0
Michigan,9986857.0,39.8,59584.0,32892.0,1269062.0,12.707321232295605,2.5058133905391857,571140.0
Minnesota,5639632.0,38.4,74593.0,39025.0,494683.0,8.771547505227291,1.7505929464901255,272612.0
Mississippi,2976149.0,38.3,45792.0,25301.0,564192.0,18.957115386360023,2.9506923208481832,376872.0
Missouri,6137428.0,38.9,57409.0,31756.0,770175.0,12.548823383345598,1.8910527341420542,603702.0
Montana,1068778.0,40.5,57153.0,32625.0,131882.0,12.339512976502137,2.0587998630211324,87141.0
Nebraska,1934408.0,36.8,63229.0,33272.0,185761.0,9.60298964851262,1.7645191707230325,157923.0
Nevada,3080156.0,38.4,63276.0,33575.0,379564.0,12.322882347517464,2.5648051592192083,347631.0
New Hampshire,1359711.0,43.0,77933.0,41241.0,95711.0,7.039069331644739,1.6627798112981362,84024.0
New Jersey,8882190.0,40.2,85751.0,44888.0,798262.0,8.987220494044825,2.482225667318533,692341.0
New Mexico,2096829.0,38.6,51945.0,28423.0,373230.0,17.799734742318044,2.5032561071980597,205156.0
New York,19453561.0,39.2,72108.0,41857.0,2467006.0,12.681513682764816,2.288347105190664,1006528.0
North Carolina,10488084.0,39.1,57341.0,32021.0,1386122.0,13.216160358746173,2.258486869479688,1157280.0
North Dakota,762062.0,35.5,64577.0,36611.0,78112.0,10.25008463878267,1.4329542740616905,51324.0
Ohio,11689100.0,39.6,58642.0,32780.0,1484862.0,12.702962589078714,2.332549126964437,757762.0
Oklahoma,3956971.0,37.0,54449.0,29666.0,583029.0,14.734224739074408,2.0648369674682985,552835.0
Oregon,4217737.0,39.7,67058.0,35531.0,470643.0,11.158661623519912,2.560401466473609,299420.0
Pennsylvania,12801989.0,40.8,63463.0,35804.0,1489333.0,11.633606309144618,2.3092739729740432,726448.0
Puerto Rico,3193694.0,43.1,20474.0,13345.0,1376809.0,43.110235357551474,5.365886650380406,246065.0
Rhode Island,1059361.0,40.1,71169.0,37525.0,110244.0,10.406650801756909,2.2843015742508928,42720.0
South Carolina,5148714.0,39.9,56227.0,31295.0,692744.0,13.454699561871179,2.2537084017484754,547666.0
South Dakota,884659.0,37.7,59533.0,31550.0,101946.0,11.52376226319972,1.5862609208745968,88337.0
Tennessee,6829174.0,39.0,56071.0,31224.0,922176.0,13.50347787301949,2.23120687802068,681647.0
Texas,28995881.0,35.1,64034.0,32267.0,3865010.0,13.329513940273102,2.1902317780928953,5233960.0
Utah,3205958.0,31.2,75780.0,31771.0,281279.0,8.773633341422439,1.635143068000267,306856.0
Vermont,623989.0,42.8,63001.0,35702.0,60897.0,9.759306654444229,1.8513146866371042,27741.0
Virginia,8535519.0,38.5,76456.0,40635.0,822775.0,9.639425558070927,2.056442027719697,658286.0
Washington,7614893.0,37.9,78687.0,41521.0,730240.0,9.589629164848409,2.3552924512530904,496047.0
West Virginia,1792147.0,42.9,48850.0,27446.0,278734.0,15.553076840236878,2.646211499391512,117644.0
Wisconsin,5822434.0,39.9,64168.0,34568.0,591486.0,10.158741172506206,1.6981386135076841,328654.0
Wyoming,578759.0,38.1,65003.0,34104.0,56945.0,9.839155848980319,1.8209652031329102,70053.0
